responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
2221,raw_position_sample,2,2,int,,,900,1,12, stepped ,991,122,115229,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,962.4833374023438,130.06666564941406,1031.566665649414,1,12,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2233,hover_association,2,2,int,,,900,1,12, stepped ,974,114,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,962.4833450317383,140.06666564941406,1031.5666580200195,1,12,hover,300,300,0.41278644197476544,0.5483333587646484,19,,,,,,,,,,,,,,,EmTest5,EmTest5
2267,hover_association,2,2,int,,,900,1,11, Commuters ,962,130,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,864.4333419799805,140.06666564941406,962.4833450317383,1,11,hover,33,33,0.7197007223219504,0.8983333587646485,19,,,,,,,,,,,,,,,EmTest5,EmTest5
2272,raw_position_sample,2,2,int,,,900,1,-1,999,905,144,115279,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2322,raw_position_sample,2,2,int,,,900,1,-1,999,822,142,115330,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2373,raw_position_sample,2,2,int,,,900,1,-1,999,718,150,115381,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2424,raw_position_sample,2,2,int,,,900,1,19, raised. ,653,158,115431,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,602.566650390625,170.06666564941406,656.6166534423828,2,6,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2473,raw_position_sample,2,2,int,,,900,1,19, raised. ,610,156,115482,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,602.566650390625,170.06666564941406,656.6166534423828,2,6,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2484,hover_association,2,2,int,,,900,1,19, raised. ,653,158,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,602.566650390625,180.06666564941406,660.2199859619141,2,6,hover,66,66,0.12893182216983043,0.3983333587646484,19,,,,,,,,,,,,,,,EmTest5,EmTest5
2524,raw_position_sample,2,2,int,,,900,1,18, collars ,565,149,115532,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,545.5333251953125,170.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2550,hover_association,2,2,int,,,900,1,18, collars ,601,154,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,545.533332824707,180.06666564941406,602.566650390625,2,5,hover,67,67,0.07831680438597113,0.19833335876464844,19,,,,,,,,,,,,,,,EmTest5,EmTest5
2574,raw_position_sample,2,2,int,,,900,1,17, their ,514,145,115582,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,505.5,170.06666564941406,545.5333404541016,2,4,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2600,hover_association,2,2,int,,,900,1,17, their ,534,146,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,505.5,180.06666564941406,545.533332824707,2,4,hover,50,50,0.012489592165342258,0.09833335876464844,19,,,,,,,,,,,,,,,EmTest5,EmTest5
2625,raw_position_sample,2,2,int,,,900,1,16, with ,490,144,115632,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,468.48333740234375,170.06666564941406,505.5,2,3,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2650,hover_association,2,2,int,,,900,1,16, with ,498,144,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,468.4833450317383,180.06666564941406,505.5,2,3,hover,51,51,0.14903169865001925,0.14833335876464843,19,,,,,,,,,,,,,,,EmTest5,EmTest5
2675,raw_position_sample,2,2,int,,,900,1,15, fog ,455,153,115683,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,438.45001220703125,170.06666564941406,468.4833526611328,2,2,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2700,hover_association,2,2,int,,,900,1,15, fog ,466,148,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,438.45001220703125,180.06666564941406,468.4833450317383,2,2,hover,49,49,0.2513869451996924,0.34833335876464844,19,,,,,,,,,,,,,,,EmTest5,EmTest5
2725,raw_position_sample,2,2,int,,,900,1,14, the ,425,160,115733,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,408.41668701171875,170.06666564941406,438.45001220703125,2,1,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2775,raw_position_sample,2,2,int,,,900,1,14, the ,409,166,115783,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,408.41668701171875,170.06666564941406,438.45001220703125,2,1,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2783,hover_association,2,2,int,,,900,1,14, the ,438,156,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,408.41668701171875,180.06666564941406,438.45001220703125,2,1,hover,83,83,0.01942219133205708,0.6483333587646485,19,,,,,,,,,,,,,,,EmTest5,EmTest5
2825,raw_position_sample,2,2,int,,,900,1,-1,999,406,166,115834,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2876,raw_position_sample,2,2,int,,,900,1,-1,999,406,165,115884,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2927,raw_position_sample,2,2,int,,,900,1,-1,999,405,165,115934,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2977,raw_position_sample,2,2,int,,,900,1,14, the ,414,162,115985,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,408.41668701171875,170.06666564941406,438.45001220703125,2,1,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2984,hover_association,2,2,int,,,900,1,14, the ,414,162,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,408.41668701171875,180.06666564941406,438.45001220703125,2,1,hover,27,27,0.18590392345742238,0.5483333587646484,19,,,,,,,,,,,,,,,EmTest5,EmTest5
3017,hover_association,2,2,int,,,900,1,15, fog ,439,159,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,438.45001220703125,180.06666564941406,468.4833450317383,2,2,hover,33,33,0.8174246906348207,0.34833335876464844,19,,,,,,,,,,,,,,,EmTest5,EmTest5
3027,raw_position_sample,2,2,int,,,900,1,16, with ,480,150,116036,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,468.48333740234375,170.06666564941406,505.5,2,3,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
3066,hover_association,2,2,int,,,900,1,16, with ,480,150,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,468.4833450317383,180.06666564941406,505.5,2,3,hover,50,50,0.9324628332261921,0.14833335876464843,19,,,,,,,,,,,,,,,EmTest5,EmTest5
3078,raw_position_sample,2,2,int,,,900,1,17, their ,510,146,116086,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,505.5,170.06666564941406,545.5333404541016,2,4,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
