responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
4268,raw_position_sample,2,3,adv,15,3,36,37,5, oxytocin ,549,107,1220946.5999999046,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,526.4609375,122.875,597.5,1,5,,,,,,,,,,,
4268,hover_association,2,3,adv,15,3,36,37,5, oxytocin ,549,107,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17.09999990463257,17.09999990463257,0.3172770262839547,0.359375,138,92.625,526.4609375,132.625,597.5,1,5,,,,,,,,,,,
4286,hover_association,2,3,adv,15,3,36,37,3, shows ,474,124,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.9000000953674316,0.9000000953674316,0.6888857899874494,0.784375,138,92.625,435.40625,132.625,491.4296875,1,3,,,,,,,,,,,
4302,hover_association,2,3,adv,15,3,36,37,3, shows ,452,129,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.8000001907348633,0.8000001907348633,0.2961929995816483,0.909375,138,92.625,435.40625,132.625,491.4296875,1,3,,,,,,,,,,,
4318,raw_position_sample,2,3,adv,15,3,36,37,-1,999,452,129,1220996.200000286,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4319,hover_association,2,3,adv,15,3,36,37,17, with ,430,133,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,1,1,0.015407344871253694,0.009375,138,132.625,429.4296875,172.625,466.4453125,2,2,,,,,,,,,,,
4336,hover_association,2,3,adv,15,3,36,37,16, combined ,415,134,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,1,1,0.8262628162919763,0.034375,138,132.625,346.375,172.625,429.4296875,2,1,,,,,,,,,,,
4352,hover_association,2,3,adv,15,3,36,37,16, combined ,404,135,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.9000000953674316,0.9000000953674316,0.6938199604928982,0.059375,138,132.625,346.375,172.625,429.4296875,2,1,,,,,,,,,,,
4369,hover_association,2,3,adv,15,3,36,37,16, combined ,399,135,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,1,1,0.633618662402408,0.059375,138,132.625,346.375,172.625,429.4296875,2,1,,,,,,,,,,,
4370,raw_position_sample,2,3,adv,15,3,36,37,-1,999,399,135,1221048.4000000954,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
