responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
3078,raw_position_sample,2,2,int,,,900,1,1, The ,367,123,331546.80000019073,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,346.375,130.875,382.3984375,1,1,,,,,,,,,,,
3117,hover_association,2,2,int,,,900,1,1, The ,376,122,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,499.90000009536743,499.90000009536743,0.8890006111866879,0.559375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
3128,raw_position_sample,2,2,int,,,900,1,2, coastal ,385,123,331596.5,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
3178,raw_position_sample,2,2,int,,,900,1,2, coastal ,403,123,331646.5,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
3228,raw_position_sample,2,2,int,,,900,1,2, coastal ,419,123,331696,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
3278,raw_position_sample,2,2,int,,,900,1,2, coastal ,429,124,331746.59999990463,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
3328,raw_position_sample,2,2,int,,,900,1,2, coastal ,443,124,331796,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
3334,hover_association,2,2,int,,,900,1,2, coastal ,385,123,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,216.59999990463257,216.59999990463257,0.9768291147210679,0.584375,19,100.625,382.3984375,140.625,444.4375,1,2,,,,,,,,,,,
3378,raw_position_sample,2,2,int,,,900,1,3, tram ,457,124,331846.80000019073,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,444.4375,130.875,485.4453125,1,3,,,,,,,,,,,
3428,raw_position_sample,2,2,int,,,900,1,3, tram ,476,124,331896.2000002861,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,444.4375,130.875,485.4453125,1,3,,,,,,,,,,,
3450,hover_association,2,2,int,,,900,1,3, tram ,447,124,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,116.59999990463257,116.59999990463257,0.8915983996951801,0.584375,19,100.625,444.4375,140.625,485.4453125,1,3,,,,,,,,,,,
3477,raw_position_sample,2,2,int,,,900,1,4, arrived ,495,125,331945.7000002861,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3528,raw_position_sample,2,2,int,,,900,1,4, arrived ,507,126,331996.40000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3578,raw_position_sample,2,2,int,,,900,1,4, arrived ,515,127,332046.80000019073,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3628,raw_position_sample,2,2,int,,,900,1,4, arrived ,521,127,332096.30000019073,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3678,raw_position_sample,2,2,int,,,900,1,4, arrived ,527,128,332146.5,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3728,raw_position_sample,2,2,int,,,900,1,4, arrived ,532,129,332196.5,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3779,raw_position_sample,2,2,int,,,900,1,4, arrived ,532,129,332247.40000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3828,raw_position_sample,2,2,int,,,900,1,4, arrived ,532,129,332296.40000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3878,raw_position_sample,2,2,int,,,900,1,4, arrived ,532,129,332346.40000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3928,raw_position_sample,2,2,int,,,900,1,4, arrived ,532,129,332396.90000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3978,raw_position_sample,2,2,int,,,900,1,4, arrived ,545,129,332446.7000002861,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,485.4453125,130.875,545.46875,1,4,,,,,,,,,,,
3984,hover_association,2,2,int,,,900,1,4, arrived ,486,124,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,533.5,533.5,0.9921905505661851,0.709375,19,100.625,485.4453125,140.625,545.46875,1,4,,,,,,,,,,,
